	sw480_APC_1	sw480_APC_2	sw480_APC_3	sw480_CONTROL_1	sw480_CONTROL_2	sw480_CONTROL_3	sw480-1	sw480-2	sw480-3	cds_length	gene_name
NM_018555	472	411	467	410	406	431	451	421	465	5143	ZNF331
NM_018556	2	0	1	0	0	0	0	0	0	1716	SIRPG
NM_018557	0	0	0	0	0	0	0	0	0	16531	LRP1B
NM_018558	3	2	1	13	12	11	54	40	39	2000	GABRQ
NM_018559	521	553	505	396	353	411	353	371	351	1392	KIAA1704
NM_018561	42	41	48	43	44	46	39	50	47	3177	USP49
NM_018565	2234	2153	2109	5381	5044	5709	5714	5252	5682	2062	SERINC2
NM_018566	595	559	540	749	637	815	682	620	762	6265	YOD1
NM_018569	564	555	549	546	441	545	505	521	530	2908	AP1AR
NM_018571	548	561	514	962	876	1005	651	646	684	2298	STRADB
NM_018584	419	441	423	295	268	253	264	291	288	2351	CAMK2N1
NM_018590	287	296	264	256	235	249	298	281	293	3769	CSGALNACT2
NM_018593	119	117	93	68	74	55	54	62	72	2891	SLC16A10
NM_018602	619	609	597	818	650	740	673	699	632	3186	DNAJA4
NM_018622	1764	1756	1595	1577	1432	1631	1498	1575	1638	1412	PARL
NM_018638	1671	1628	1639	2051	1779	2081	2220	2377	2102	7101	ETNK1
NM_018639	1017	1018	938	1228	1090	1409	1072	1114	1111	2822	WSB2
NM_018640	1	3	0	0	0	0	0	0	0	3833	LMO3
NM_018641	325	268	238	283	290	341	473	381	404	2133	CHST12
NM_018644	111	88	96	255	225	273	349	317	351	3524	B3GAT1
NM_018645	236	187	182	476	384	457	504	420	408	1370	HES6
NM_018646	0	2	2	4	3	0	4	5	4	2907	TRPV6
NM_018647	32	19	27	158	149	164	196	224	199	1625	TNFRSF19
NM_018648	991	952	996	1029	919	1078	805	842	898	535	NOP10
NM_018649	489	456	421	410	392	458	482	411	459	2179	H2AFY2
NM_018650	109	110	121	11	15	12	16	12	17	5276	MARK1
NM_018651	7	6	9	5	6	6	5	11	13	3464	ZNF167
NM_018652	1	1	1	9	11	5	15	8	5	3178	GOLGA6B
NM_018653	211	206	202	467	390	428	683	650	588	1820	GPRC5C
NM_018654	0	0	0	0	0	0	0	0	0	1038	GPRC5D
NM_018656	159	182	170	236	185	218	258	236	222	2347	SLC35E3
NM_018657	620	657	610	531	446	530	528	539	542	5300	MYNN
NM_018660	1782	1706	1650	753	630	781	594	582	559	4802	ZNF395
NM_018661_2	1	0	1	0	0	0	0	0	0	324	DEFB103B
NM_018662	56	61	60	88	54	65	67	60	46	7060	DISC1
NM_018663	344	292	285	268	216	282	324	263	329	957	PXMP2
NM_018664	31	25	26	36	27	32	26	16	38	981	BATF3
NM_018665	0	0	0	0	0	0	0	0	0	2696	DDX43
NM_018667	39	24	41	30	18	25	43	35	32	5269	SMPD3
NM_018668	231	204	188	371	318	351	350	385	336	2639	VPS33B
NM_018669	814	723	767	782	778	879	632	618	620	2150	WDR4
NM_018670	10	11	13	19	12	17	23	26	15	1162	MESP1
NM_018671	1468	1424	1361	1242	1112	1309	1292	1268	1247	3552	UNC45A
NM_018672	222	206	228	138	90	149	144	184	135	9249	ABCA5
NM_018676	440	441	454	261	199	264	185	220	200	3347	THSD1
NM_018677	1529	1476	1535	2676	2190	2532	2262	2414	2120	2979	ACSS2
NM_018682	1620	1699	1729	2057	1651	2029	1893	2015	1947	6715	MLL5
NM_018683	2516	2388	2302	1787	1599	1909	1954	1967	2077	2467	RNF114
NM_018684	1	1	0	18	15	16	48	45	35	2812	ZC4H2
NM_018685	9665	9646	9053	12180	10468	12546	10036	10121	10350	4770	ANLN
NM_018686	2698	2634	2375	2493	2129	2577	2492	2439	2466	1794	CMAS
NM_018687	0	1	1	0	0	0	0	0	0	872	C19orf80
NM_018688	572	494	517	633	613	653	615	568	585	1847	BIN3
NM_018689	121	112	130	240	167	223	80	74	63	7080	KIAA1199
NM_018690	3	2	5	1	0	1	4	8	2	3792	APOBR
NM_018691	175	187	173	239	219	296	251	258	246	2880	FAM114A2
NM_018694	2073	1815	1728	1696	1513	1688	1869	1731	1760	1375	ARL6IP4
NM_018695	1137	1156	1047	1451	1194	1410	1341	1529	1456	6919	ERBB2IP
NM_018696	58	44	47	73	59	80	63	55	66	2233	ELAC1
NM_018697	806	757	681	860	732	924	905	820	764	4353	LANCL2
NM_018698	391	402	411	437	408	504	496	454	471	2706	NXT2
NM_018699	16	10	15	10	8	11	22	18	19	2480	PRDM5
NM_018700	224	254	251	228	198	233	270	283	242	4437	TRIM36
NM_018702	1	0	0	4	0	3	3	2	1	8426	ADARB2
NM_018703	1438	1400	1437	1484	1403	1624	1495	1462	1571	6734	RBBP6
NM_018704	228	271	267	333	284	331	392	407	381	5900	CTTNBP2NL
NM_018706	1088	1005	1011	928	835	992	1011	986	906	5196	DHTKD1
NM_018708	846	777	780	602	540	621	724	624	634	3844	FEM1A
NM_018710	176	172	157	208	171	221	209	171	170	2403	TMEM55A
NM_018711	1	0	0	0	1	0	1	2	3	3313	SVOP
NM_018712	4	6	1	1	0	1	1	1	1	2991	ELMOD1
NM_018714	656	616	600	618	510	591	617	590	581	3034	COG1
NM_018715	3877	3780	3824	2377	2097	2439	2847	2755	2735	4122	RCC2
NM_018717	163	153	159	177	116	171	188	181	176	7088	MAML3
NM_018718	601	512	511	1001	852	1018	833	913	788	6486	CEP41
NM_018719	1517	1464	1345	2089	1802	2302	1673	1697	1788	2908	CDCA7L
NM_018724	1	1	0	0	0	0	0	0	0	1234	IL20
NM_018725	77	84	83	127	129	126	178	200	162	2040	IL17RB
NM_018727	87	79	74	66	61	52	61	59	79	4047	TRPV1
NM_018728	894	895	796	470	433	525	267	220	243	6975	MYO5C
NM_018833	0	0	0	0	0	0	0	0	0	2540	TAP2
NM_018833_2	0	0	0	0	0	0	0	0	0	2540	TAP2
NM_018833_3	1	0	1	0	0	0	0	0	0	2540	TAP2
NM_018833_4	1	1	0	0	0	0	0	0	0	2540	TAP2
NM_018833_5	2	3	4	3	0	0	1	2	0	2540	TAP2
NM_018833_6	0	0	0	0	0	0	0	0	0	2540	TAP2
NM_018833_7	0	0	0	0	0	0	0	0	0	2540	TAP2
NM_018833_8	0	0	0	0	0	0	0	0	0	2540	TAP2
NM_018834	7803	8180	7536	9626	8331	10233	8676	8902	9449	5165	MATR3
NM_018835	924	888	857	843	716	885	750	817	829	3565	RC3H2
NM_018837	5592	5493	5467	1647	1471	1716	1591	1532	1623	3899	SULF2
NM_018838	1418	1422	1440	2137	1929	2166	1879	1957	2013	583	NDUFA12
NM_018839	1540	1568	1553	1321	1150	1411	1736	1820	1828	3475	NSFL1C
NM_018840	3325	3116	3034	2619	2331	2656	2830	2787	2982	1114	C20orf24
NM_018841	2177	2126	2015	1809	1396	1806	1694	1646	1667	4409	GNG12
NM_018842	2014	1929	1964	1262	1060	1285	1024	977	1029	3670	BAIAP2L1
NM_018843	914	877	851	1074	857	1124	1006	1025	910	3142	SLC25A40
NM_018844	2353	2590	2425	3224	2774	3466	2561	2643	2554	6019	BCAP29
NM_018845	481	451	467	504	400	526	510	523	509	1343	SLC50A1
NM_018846	696	641	655	1025	824	1076	888	894	878	3259	KLHL7
NM_018847	576	572	547	649	501	650	564	582	572	4412	KLHL9
NM_018848	1335	1360	1315	1120	947	1166	1194	1251	1287	3070	MKKS
NM_018849	14	14	18	119	81	107	237	245	226	3988	ABCB4
NM_018850	14	14	16	116	80	107	235	239	224	3826	ABCB4
NM_018890	5730	5773	5789	8292	7490	8723	8193	7848	8118	2398	RAC1
NM_018891	6289	6056	5978	1096	969	1160	1474	1574	1601	4522	LAMC2
NM_018896	17	9	10	10	14	17	16	11	15	8246	CACNA1G
NM_018897	5	3	6	3	0	1	5	3	3	12394	DNAH7
NM_018898	138	110	134	2	2	3	10	8	7	5475	PCDHAC1
NM_018899	172	133	146	4	3	5	15	11	14	6036	PCDHAC2
NM_018900	88	67	89	2	2	3	10	6	8	5260	PCDHA1
NM_018901	88	67	89	2	2	3	10	6	7	5254	PCDHA10
NM_018902	89	67	89	2	2	3	10	6	7	6115	PCDHA11
NM_018903	88	67	89	2	2	3	10	6	7	5360	PCDHA12
NM_018904	88	67	89	2	2	3	10	6	7	5260	PCDHA13
NM_018905	88	67	89	2	2	3	10	6	7	5360	PCDHA2
NM_018906	88	67	89	2	2	3	10	6	7	5260	PCDHA3
NM_018907	88	67	89	2	2	3	10	6	7	5352	PCDHA4
NM_018908	88	67	89	2	2	3	10	6	7	5218	PCDHA5
NM_018909	88	67	89	2	2	3	10	6	7	5287	PCDHA6
NM_018910	88	67	89	2	2	3	10	7	7	5221	PCDHA7
NM_018911	88	67	89	2	2	3	10	6	7	5260	PCDHA8
NM_018912	776	596	676	296	249	257	420	425	425	4602	PCDHGA1
NM_018913	778	597	676	295	248	260	424	433	425	4617	PCDHGA10
NM_018914	789	612	690	299	250	262	421	429	424	4872	PCDHGA11
NM_018915	773	595	675	295	248	257	420	426	423	4790	PCDHGA2
NM_018916	774	595	676	294	249	257	420	425	421	4605	PCDHGA3
NM_018917	774	595	675	294	249	257	420	424	423	4602	PCDHGA4
NM_018918	773	595	675	296	247	257	422	426	424	4602	PCDHGA5
NM_018919	774	596	675	296	250	261	423	429	424	4605	PCDHGA6
NM_018920	773	595	675	294	247	257	422	424	423	4605	PCDHGA7
NM_018921	774	596	676	294	247	257	424	426	424	4605	PCDHGA9
NM_018922	774	595	675	295	247	258	420	425	421	4590	PCDHGB1
NM_018923	775	597	675	297	251	265	429	429	425	4602	PCDHGB2
NM_018924	774	595	676	295	247	258	419	424	421	4596	PCDHGB3
NM_018925	776	595	675	295	247	258	442	437	436	4578	PCDHGB5
NM_018926	773	596	675	295	247	257	420	425	421	4599	PCDHGB6
NM_018927	786	607	686	301	255	262	435	436	431	4765	PCDHGB7
NM_018928	776	599	679	297	247	260	420	427	422	4623	PCDHGC4
NM_018929	777	598	677	295	248	257	423	425	422	4641	PCDHGC5
NM_018932	2	0	2	0	0	2	2	4	3	3408	PCDHB12
NM_018933	1	1	0	4	5	9	12	7	11	3485	PCDHB13
NM_018934	6	1	1	4	5	9	12	12	13	2783	PCDHB14
NM_018935	1	0	0	0	0	1	3	2	3	2655	PCDHB15
NM_018941	157	129	158	181	137	179	168	170	152	7169	CLN8
NM_018943	44	42	42	43	33	56	42	48	48	2124	TUBA8
NM_018944	759	808	759	864	768	955	841	867	888	1571	MIS18A
NM_018945	0	0	0	0	0	0	0	0	1	5387	PDE7B
NM_018946	1707	1658	1531	1948	1780	2154	1693	1696	1686	1240	NANS
NM_018947	11148	11408	10901	13607	11593	14075	9173	9206	9626	5538	CYCS
NM_018948	2624	2495	2491	560	510	540	467	478	512	3129	ERRFI1
NM_018949	4	7	3	6	2	2	10	4	3	1170	UTS2R
NM_018950	0	0	0	0	0	0	0	0	0	1284	HLA-F
NM_018950_2	0	0	0	0	0	0	0	0	0	1284	HLA-F
NM_018950_3	0	0	0	0	0	0	0	0	0	1199	HLA-F
NM_018950_4	0	0	0	0	0	0	0	0	0	1284	HLA-F
NM_018950_5	0	0	0	0	0	0	0	0	0	1284	HLA-F
NM_018950_7	0	0	0	0	0	0	0	0	0	1284	HLA-F
NM_018951	554	538	510	467	406	487	306	261	256	2571	HOXA10
NM_018952	884	713	723	1262	1177	1291	2315	1952	1856	1676	HOXB6
NM_018953	59	28	31	45	44	43	51	42	47	1612	HOXC5
NM_018955	19572	19139	19486	20176	17803	20469	20666	20707	21363	971	UBB
NM_018956	25	25	25	47	31	32	44	27	30	719	C9orf9
NM_018957	795	677	749	472	476	535	534	569	530	2576	SH3BP1
NM_018959	3821	3466	3291	2958	2689	3102	3282	2876	3093	2184	DAZAP1
NM_018960	4	1	7	5	3	2	10	4	6	1068	GNMT
NM_018961	2	2	5	0	0	0	0	0	0	2556	UBASH3A
NM_018962	5	4	5	7	11	17	17	12	16	2234	DSCR6
NM_018963	595	579	577	611	503	646	525	568	582	8806	BRWD1
NM_018964	351	338	305	134	134	135	168	140	153	3094	SLC37A1
NM_018965	1	5	1	86	72	94	18	24	22	1055	TREM2
NM_018967	0	0	0	0	0	0	0	0	0	1889	SNTG1
NM_018968	0	0	0	0	0	0	0	0	0	1887	SNTG2
NM_018969	7	5	4	67	64	76	81	117	98	4251	GPR173
NM_018972	131	116	111	124	87	124	210	204	236	3889	GDAP1
NM_018973	322	282	247	193	178	213	277	256	273	517	DPM3
NM_018974	1	1	0	0	0	1	0	0	0	2111	UNC93A
NM_018975	544	546	517	677	619	731	784	755	772	2178	TERF2IP
NM_018976	1573	1499	1558	3029	2416	3016	3560	3778	3556	4884	SLC38A2
NM_018977	5	5	2	2	7	5	7	11	5	3925	NLGN3
NM_018979	3464	3330	3220	4632	3845	4831	4119	4534	4455	10452	WNK1
NM_018981	3104	3090	3004	2136	1851	2246	1771	1981	1854	5919	DNAJC10
NM_018982	256	307	303	431	381	440	341	391	389	1852	YIPF1
NM_018983	1100	1194	1159	1188	998	1234	1003	979	1064	1267	GAR1
NM_018984	1270	1238	1153	2369	1964	2482	2245	2376	2408	8535	SSH1
NM_018986	246	191	188	278	261	321	312	248	237	4260	SH3TC1
NM_018988	116	94	93	69	79	96	63	56	67	3308	GFOD1
NM_018989	1651	1730	1506	1754	1468	1804	1673	1851	1810	6540	RBM27
NM_018990	1	0	0	2	3	1	0	1	1	2693	SASH3
NM_018992	1271	1161	1132	1013	968	1107	1050	1039	1082	2463	KCTD5
NM_018993	764	761	714	649	553	632	624	627	674	4247	RIN2
NM_018994	360	349	328	429	358	403	424	453	436	2976	FBXO42
NM_018996	307	295	273	425	336	434	428	403	391	9663	TNRC6C
NM_018997	424	441	410	358	423	452	363	382	378	939	MRPS21
NM_018998	2516	2154	2017	1827	1834	1930	1954	1765	1784	2380	FBXW5
NM_018999	420	400	390	484	419	477	532	584	524	7676	CCSER2
NM_019000	37	44	38	42	44	44	54	56	53	3160	FAM134B
NM_019001	750	726	705	843	704	868	789	900	779	10092	XRN1
NM_019002	361	388	373	436	365	470	448	448	440	3283	ETAA1
NM_019003	70	68	67	62	60	57	60	65	64	1319	SPIN2A
NM_019004	2522	2500	2359	2800	2278	2787	2557	2571	2549	6081	ANKIB1
NM_019005	635	632	581	907	815	955	641	743	751	3323	MIOS
NM_019006	754	832	761	774	664	780	727	731	770	1814	ZFAND6
NM_019007	274	250	247	369	373	377	363	394	394	1848	ARMCX6
NM_019008	1424	1365	1351	1478	1271	1433	1218	1146	1241	5699	SMCR7L
NM_019009	856	753	723	934	828	968	961	894	852	3660	TOLLIP
NM_019012	714	728	682	604	459	564	556	593	554	4339	PLEKHA5
NM_019013	1558	1447	1366	1853	1640	1970	1858	1900	1848	1544	FAM64A
NM_019014	2316	2253	2115	1874	1716	1992	1486	1518	1645	5409	POLR1B
NM_019015	888	753	824	1011	925	1083	980	933	1019	3970	CHPF2
NM_019018	89	98	98	293	266	271	329	329	300	7048	FAM105A
NM_019020	1866	1731	1618	1617	1542	1765	1401	1371	1401	10946	TBC1D16
NM_019021	63	54	56	59	43	67	93	77	78	780	C11orf71
NM_019022	764	687	687	815	629	799	741	739	771	4745	TMX3
NM_019023	468	474	428	443	406	480	516	604	556	2465	PRMT7
NM_019024	449	425	454	464	421	452	540	558	536	6792	HEATR5B
NM_019026	1371	1339	1276	1474	1250	1464	1388	1386	1442	4470	TMCO1
NM_019027	180	160	146	129	106	138	168	146	158	4485	RBM47
NM_019028	521	484	468	534	466	561	441	524	464	2434	ZDHHC13
NM_019029	150	157	163	89	90	97	74	75	73	1779	CPVL
NM_019030	869	853	763	906	764	912	840	771	822	4473	DHX29
NM_019032	18	9	7	25	28	29	28	41	34	4201	ADAMTSL4
NM_019034	1882	1684	1706	1692	1558	1798	1426	1373	1439	2435	RHOF
NM_019037	741	626	537	417	376	455	472	399	438	895	EXOSC4
NM_019040	497	446	469	711	639	774	618	621	582	1567	ELP4
NM_019041	717	751	726	781	679	826	803	760	795	3878	MTRF1L
NM_019042	2706	2552	2614	2010	1697	2061	1666	1637	1735	3482	PUS7
NM_019044	1756	1443	1568	1943	1556	1913	1577	1723	1663	6929	CCDC93
NM_019045	416	404	423	399	330	421	466	501	460	4146	WDR44
NM_019046	158	123	150	130	138	162	179	166	146	2628	ANKRD16
NM_019048	960	979	849	1015	893	1087	999	967	972	2471	ASNSD1
NM_019050	433	423	475	337	284	359	343	334	371	6595	USP53
NM_019051	1002	1149	1048	1020	867	1040	835	905	939	1021	MRPL50
NM_019052	0	0	0	0	0	1	0	0	0	2625	CCHCR1
NM_019052_2	1	0	1	0	0	0	0	0	1	2625	CCHCR1
NM_019052_3	1	1	1	1	0	3	1	3	1	2625	CCHCR1
NM_019052_4	0	0	0	1	0	0	1	0	1	2625	CCHCR1
NM_019052_5	1	0	0	1	0	3	2	1	1	2625	CCHCR1
NM_019052_6	2	3	6	5	2	3	8	5	8	2625	CCHCR1
NM_019053	501	513	522	592	573	587	586	538	579	3620	EXOC6
NM_019054	1024	991	946	1176	965	1166	920	989	1002	3404	FAM35A
NM_019055	39	36	30	7	6	9	3	6	5	3837	ROBO4
NM_019056	2141	1939	1883	2171	1945	2174	2366	2113	2152	1124	NDUFB11
NM_019058	1575	1346	1488	331	238	301	155	215	145	1752	DDIT4
NM_019059	2279	2428	2263	2432	2250	2614	1562	1780	1794	779	TOMM7
NM_019063	4541	4300	4282	3356	2943	3485	3292	3257	3283	5549	EML4
NM_019065	2	1	1	14	10	21	6	10	7	1606	NECAB2
NM_019067	1523	1412	1624	1238	1151	1373	1489	1244	1262	8573	GNL3L
NM_019069	94	99	92	151	131	136	145	147	150	4183	WDR5B
NM_019070	832	726	690	589	529	624	663	617	675	1836	DDX49
NM_019071	259	248	259	314	305	304	297	324	365	2204	ING3
NM_019072	337	306	310	318	257	336	284	321	303	5453	SGTB
NM_019073	42	43	48	28	13	8	57	67	81	5004	SPATA6
NM_019074	5	6	6	14	16	8	19	10	10	3420	DLL4
NM_019075	29	32	23	493	397	476	169	149	161	2385	UGT1A10
NM_019076	29	32	23	493	397	476	169	149	161	2396	UGT1A8
NM_019077	29	32	23	493	397	476	169	149	161	2333	UGT1A7
NM_019078	29	32	24	507	405	482	174	155	165	2345	UGT1A5
NM_019079	9	7	17	10	9	12	10	8	12	3879	L1TD1
NM_019080	1373	1292	1292	717	621	798	647	583	593	4655	NDFIP2
NM_019082	2665	2650	2523	3268	3094	3369	3012	2958	3086	2872	DDX56
NM_019083	257	299	245	391	331	405	320	317	352	3143	TRMT13
NM_019084	311	256	265	279	269	272	305	297	304	4105	CCNJ
NM_019086	296	284	258	400	311	385	330	344	364	5003	VSIG10
NM_019087	134	149	135	163	160	170	202	176	173	2486	ARL15
NM_019088	2091	2172	2085	1640	1400	1580	1753	1803	1779	2288	PAF1
NM_019089	125	127	132	129	109	125	121	109	124	4260	HES2
NM_019090	66	56	57	27	33	34	26	45	35	5455	KIAA1383
NM_019091	359	329	337	549	386	506	509	478	541	2469	PLEKHA3
NM_019093	29	32	23	499	401	482	171	150	162	2345	UGT1A3
NM_019094	1775	1906	1806	4265	3529	4299	5140	5187	5084	4810	NUDT4
NM_019095	1733	1743	1690	1019	880	1116	1293	1300	1336	3953	CRLS1
NM_019096	638	559	595	740	643	656	644	731	685	2979	GTPBP2
NM_019098	0	0	0	0	0	0	0	0	0	4347	CNGB3
NM_019099	91	95	102	243	238	250	195	244	215	5980	FAM212B
NM_019100	351	329	361	357	311	310	411	427	378	1766	DMAP1
NM_019101	0	0	0	0	0	0	0	0	0	761	APOM
NM_019101_2	0	0	0	0	0	0	0	0	0	761	APOM
NM_019101_3	0	0	0	0	0	0	0	0	0	761	APOM
NM_019101_5	0	0	0	0	0	0	0	0	0	761	APOM
NM_019101_7	0	0	0	0	0	0	0	0	0	761	APOM
NM_019102	137	162	141	129	103	151	107	111	102	1657	HOXA5
NM_019103	150	141	188	278	264	309	356	352	348	1033	ZMAT5
NM_019104	121	111	128	150	103	141	156	157	141	1150	LIN37
NM_019105	0	0	0	0	0	0	0	0	0	13125	TNXB
NM_019105_3	0	0	0	0	0	0	0	1	0	13125	TNXB
NM_019105_4	0	0	0	0	0	0	0	0	0	13125	TNXB
NM_019105_5	0	0	0	0	0	0	0	0	0	13125	TNXB
NM_019106	105	82	89	237	217	258	316	336	328	4656	Sep-03
NM_019107	1373	1203	1114	1150	1110	1232	1241	1028	1110	1051	C19orf10
NM_019108	1352	1278	1377	1236	1181	1249	1317	1282	1352	2353	SMG9
NM_019109	852	773	760	748	751	822	829	853	841	3934	ALG1
NM_019110	56	53	59	55	44	56	59	58	63	2286	ZKSCAN4
NM_019111	1	1	0	0	0	0	0	0	0	1280	HLA-DRA
NM_019111_2	56	54	56	0	0	0	1	0	0	1281	HLA-DRA
NM_019111_3	3	4	0	0	0	0	0	0	0	1283	HLA-DRA
NM_019111_4	1	1	0	0	0	0	0	0	0	1280	HLA-DRA
NM_019111_5	0	0	0	0	0	0	0	0	0	1284	HLA-DRA
NM_019111_6	1	0	0	0	0	0	0	0	0	1280	HLA-DRA
NM_019111_7	3	0	1	0	0	0	0	0	0	1280	HLA-DRA
NM_019112	718	538	524	207	172	167	263	307	236	6818	ABCA7
NM_019113	1	0	0	5	2	2	0	0	0	885	FGF21
NM_019114	207	220	205	95	62	95	72	72	91	5578	EPB41L4B
NM_019116	1763	1652	1517	1914	1634	1949	1844	1805	1860	4931	UBFD1
NM_019118	38	78	59	70	56	63	56	65	66	1082	TMEM234
NM_019119	2	1	0	3	2	3	5	3	1	4219	PCDHB9
NM_019121	983	852	828	546	554	559	756	722	680	2952	PPP1R37
NM_019554	10685	10731	10386	9076	7834	8994	9659	9821	9809	564	S100A4
NM_019555	699	708	776	956	761	895	868	820	798	3602	ARHGEF3
NM_019556	883	882	820	2671	2315	2711	2395	2284	2443	2358	MOSPD1
NM_019557	329	315	285	633	513	670	527	497	481	2103	MTFR1L
NM_019558	36	33	23	100	114	124	137	131	112	2583	HOXD8
NM_019589	1663	1547	1707	2518	2022	2512	2226	2362	2391	8137	YLPM1
NM_019590	600	622	589	821	664	769	574	645	539	7754	KIAA1217
NM_019591	126	119	128	141	121	141	119	121	128	3182	ZNF26
NM_019591_2	121	111	101	130	122	160	113	101	144	3182	ZNF26
NM_019592	1069	1063	1076	1183	1018	1213	1222	1352	1346	3940	RNF20
NM_019593	470	472	477	302	248	269	407	469	433	5459	GPCPD1
NM_019594	1934	1743	1787	1412	1299	1548	1389	1400	1417	4354	LRRC8A
NM_019595	991	945	1003	892	787	951	812	876	827	6031	ITSN2
NM_019596	1	3	3	5	1	2	7	5	3	4046	C21orf62
NM_019597	2117	2044	1993	2429	2074	2566	2508	2698	2652	2392	HNRNPH2
NM_019598	0	0	0	0	0	0	0	0	0	945	KLK12
NM_019600	86	88	82	128	94	110	115	113	89	4217	FAM214A
NM_019601	133	106	116	508	432	509	582	566	553	3183	SUSD2
NM_019605	70	89	77	110	119	145	92	87	81	2008	SERTAD4
NM_019606	2400	2148	2259	2876	2545	2973	3085	3061	2987	3030	MEPCE
NM_019607	38	38	40	54	42	47	40	47	43	1885	C8orf44
NM_019609	1	2	2	319	279	318	154	168	173	2400	CPXM1
NM_019610	387	362	365	410	379	477	371	375	402	4987	RBMXL1
NM_019613	3273	3094	3123	1669	1622	1816	1895	1735	1792	2587	WDR45L
NM_019619	695	621	653	604	538	610	562	625	578	6010	PARD3
NM_019624	160	157	121	92	85	87	99	105	105	3401	ABCB9
NM_019625	167	164	125	98	93	90	105	111	113	3530	ABCB9
NM_019839	46	29	44	44	48	51	63	73	45	1504	LTB4R2
NM_019842	0	1	1	3	3	6	0	2	5	6582	KCNQ5
NM_019843	399	415	436	467	379	464	498	498	496	3701	EIF4ENIF1
NM_019844	1	0	0	2	5	5	2	6	5	3012	SLCO1B3
NM_019848	935	854	791	869	796	944	954	904	895	2129	SLC10A3
NM_019849	0	1	3	3	4	5	5	4	5	1946	SLC7A10
NM_019850	96	120	101	78	63	90	81	100	87	3184	NGEF
NM_019851	32	22	22	83	74	67	100	107	79	1016	FGF20
NM_019852	1132	974	976	1194	1023	1195	948	975	1015	1955	METTL3
NM_019854	0	1	0	0	0	0	0	0	1	2403	PRMT8
NM_019856	7	7	4	11	6	7	3	2	7	5559	MYOM1
NM_019857	650	576	623	627	563	667	660	668	669	3833	CTPS2
NM_019858	52	47	43	97	83	104	124	143	111	2516	GPR162
NM_019859	18	19	17	0	1	1	6	3	2	3346	HTR7
NM_019860	18	19	17	0	1	1	6	3	2	3253	HTR7
NM_019863	231	243	200	157	128	164	162	188	165	2604	F8
NM_019884	1966	1885	1959	1637	1438	1721	1800	1690	1800	2179	GSK3A
NM_019885	31	29	30	11	8	7	10	12	14	4528	CYP26B1
NM_019886	137	102	96	60	67	82	102	76	81	2311	CHST7
NM_019887	966	918	896	950	797	929	840	883	924	2244	DIABLO
NM_019891	322	314	318	486	374	457	417	405	346	5054	ERO1LB
NM_019892	578	508	544	500	494	544	693	632	510	3380	INPP5E
NM_019893	29	24	24	30	25	35	48	33	45	2418	ASAH2
NM_019895	428	409	407	406	347	476	806	798	721	2235	CLDND1
NM_019896	1084	975	925	1096	1069	1202	954	1060	1032	696	POLE4
NM_019903	2792	2628	2686	1767	1445	1766	1701	1812	1764	4185	ADD3
NM_020039	322	260	280	370	355	415	336	392	315	3994	ASIC1
NM_020041	5	12	17	12	10	8	8	12	13	1857	SLC2A9
NM_020056_7	0	0	0	0	0	0	0	0	0	1152	HLA-DQA2
NM_020062	3136	2558	2610	1802	1749	1989	2739	2428	2534	2279	SLC2A4RG
NM_020064	0	0	0	0	0	0	0	1	0	1907	BARHL1
NM_020069	3	1	3	3	3	5	9	2	3	1118	ACRV1
NM_020107	2	2	1	4	2	3	7	1	1	1010	ACRV1
NM_020108	2	2	1	3	2	1	6	1	1	965	ACRV1
NM_020116	0	0	0	0	0	0	0	0	0	4835	FSTL5
NM_020117	4292	4152	3959	3420	2902	3468	2935	3193	3312	4849	LARS
NM_020119	1266	1188	1184	1428	1219	1468	1294	1335	1333	7171	ZC3HAV1
NM_020120	2897	2783	2910	3428	2856	3711	3046	2887	3051	10779	UGGT1
NM_020121	460	463	434	908	745	934	578	543	575	4929	UGGT2
NM_020122	1522	1374	1337	1423	1241	1458	1358	1386	1460	7553	KCMF1
NM_020123	3868	4016	3784	4760	4108	4937	4501	4522	4627	6140	TM9SF3
NM_020124	0	0	0	0	0	0	0	0	0	1140	IFNK
NM_020125	24	27	23	22	16	24	28	34	28	3300	SLAMF8
NM_020126	312	259	247	179	179	212	339	250	280	2964	SPHK2
NM_020127	514	398	515	413	375	404	276	305	283	3111	TUFT1
NM_020128	94	72	85	88	93	84	74	82	103	2286	MDM1
NM_020129	5	1	5	2	0	0	1	0	3	778	LGALS14
NM_020131	1316	1291	1341	1278	1153	1336	1227	1318	1369	3507	UBQLN4
NM_020132	2711	2395	2258	1933	1759	2036	2032	1834	1742	6555	AGPAT3
NM_020133	25	14	14	18	11	19	28	38	27	7879	AGPAT4
NM_020134	94	98	85	477	402	455	835	836	828	5209	DPYSL5
NM_020135	1401	1475	1267	1036	862	1023	1182	1164	1159	2652	WRNIP1
NM_020137	931	831	910	1041	919	1105	1253	1312	1168	3032	GRIPAP1
NM_020139	78	89	77	104	56	99	127	130	125	2920	BDH2
NM_020140	44	44	43	36	37	42	51	36	39	2321	ANKS1B
NM_020141	460	456	490	730	544	727	525	556	549	2750	TMEM167B
NM_020142	1	1	2	5	8	7	1	3	3	1188	NDUFA4L2
NM_020143	2087	1963	1837	1881	1600	1927	1514	1441	1596	1981	PNO1
NM_020144	0	0	0	0	0	0	0	0	0	4257	PAPOLB
NM_020145	1695	1468	1525	1157	1061	1152	1389	1343	1396	1984	SH3GLB2
